index,titleId,title,types,averageRating,numVotes,isAdult,startYear,runtimeMinutes,genre1,genre2,genre 3
431,tt7380284,Yaar Ivan,imdbDisplay,5.8,51,0,2017,125,8,99,99
433,tt7465992,Nadigaiyar Thilagam,alternative,8.5,9607,0,2018,177,16,2,99
434,tt7471004,Aval,alternative,6.8,1996,0,2017,137,13,99,99
435,tt7483318,Kalakalappu 2,imdbDisplay,5,592,0,2018,154,6,2,99
436,tt7510220,Iruttu Araiyil Murattu Kuththu,imdbDisplay,4.2,747,0,2018,119,13,99,99
437,tt7549168,Billa Paandi,98,4.2,155,0,2018,140,2,99,99
438,tt7695522,Diya,imdbDisplay,5.7,447,0,2018,122,2,13,8
439,tt7720254,Jaane Kyun De Yaaron,imdbDisplay,4.8,38,0,2018,131,2,99,99
440,tt7725626,Visvasam,98,6.7,6242,0,2019,153,0,2,99
443,tt7738594,Naachiyaar,imdbDisplay,6.8,791,0,2018,100,0,2,8
444,tt7852910,Madura Veeran,imdbDisplay,6.3,74,0,2018,121,0,2,99
445,tt7853282,Oru Kuppai Kathai,imdbDisplay,6.5,249,0,2018,135,2,99,99
446,tt7892050,Chekka Chivantha Vaanam,imdbDisplay,7.3,5354,0,2018,146,0,7,2
447,tt7896266,Maraithiravu,imdbDisplay,7.7,13,0,2019,7,18,8,99
448,tt7968456,Munirathna Kurukshetra,alternative,6.9,991,0,2019,185,17,9,99
449,tt8011328,Seemaraja,alternative,4.4,1448,0,2018,158,0,2,99
450,tt8011334,Manusanaa Nee,98,6,29,0,2018,132,2,8,99
453,tt8011348,Gorrilla,98,4.5,256,0,2019,128,6,99,99
454,tt8042126,Jagajala Killadi,98,8.7,6,0,2018,150,6,99,99
455,tt8268916,90ml,98,3.3,473,0,2019,120,6,99,99
456,tt8517272,Ally,alternative,5.6,257,0,2019,120,2,8,99
457,tt8526010,Sinamkol,98,8.3,17,0,2020,121,2,99,99
458,tt9260636,Bigil,imdbDisplay,6.7,10897,0,2019,179,0,2,15
459,tt9605894,Silence,imdbDisplay,3.8,2444,0,2020,120,13,14,8
